"id","nombre_iniciativa","componente_innovador","descripcion_iniciativa"
"48","Coworking startups Quito","Espacio que permite el intercambio de experiencias, esparcimiento del conocimiento, generación de contáctos y redes para mejorar proyectos personales y profecionales","La cultura coworking conjuga elementos clave para innovación social, propiciando el cambio de las lógicas de la educación, la concepción de la ética, y la formación de valores en una sociedad con mercado. Propicia la toma de conciencia y el desarrollo de la razón crítica, fomentando una ciudadanía responsable."
"150","Crece Ecuador","¨Plataforma web de financiamiento colaborativo con las menores tasas de interés posibles para emprendedores.","Crece ecuador es una plataforma virtual de anuncio de emprendimientos y financiamiento colaborativo donde se encuentran personas que tienen un negocio en funcionamiento y excelente trayectoria con inversionistas que están en búsqueda de emprendedores a quienes dar apoyo o financiar de forma colectiva."
"349","Crecitex","Iniciativa de la ciudad de Ibarra, Ecuador, ganadora de Banco de ideas 2017 de la Secretaría de Educación Superior, Ciencia, Tecnología e Innovación consistente en recolectar desechos textiles y someterlos a un proceso de desfibrado y empezar nuevamente los procesos industriales","Hasta la actualidad se observa que la preocupación del tratamiento de los desechos textiles se focaliza únicamente a los producidos en las empresas manufactureras. Sin embargo, es poco visibilizada la situación provocada por el consumo de los productos textiles que se llevan a los hogares y que luego de su vida útil no se sabe qué hacer con ellos."
"157","Credipy","Acceso a financiamiento a ideas innovadoras para soluciones.","""Somos una comunidad de bienestar financiero, buscamos que la gente pueda manejar con confianza el dinero y tener acceso a finanzas más justas cuando lo necesiten. 

Es un espacio abierto a nuevas ideas, proyectoso contenido que busquen disminuir la pobreza, la brecha de acceso a educación financiera y acceso a oportunidades y capital de las personas."""
"260","Cuencas Sagradas: Territorios para la Vida","Esta Iniciativa ofrece una oportunidad excepcional para crear y demostrar un modelo económico que inicie una nueva era post extractiva, que salvaguarde el corazón de la biosfera de nuestro planeta y mejore el bienestar de la humanidad.","La Iniciativa de la cuencas sagradas, territorios para la vida está construyendo una visión compartida entre los pueblos indígenas, las Organizaciones No Gubernamentales, la comunidad filantrópica, los empresarios locales y los gobiernos hacia el establecimiento de una región protegida bi-nacional (libre de la extracción de recursos a escala industrial) y gobernada de acuerdo con los principios indígenas tradicionales de cooperación y armonía, fomentando una relación entre el ser humano y la Tierra."
"135","Cuestionarix","Por medio de cursos en línea con profesores expertos en el examen, simuladores ayudan a los estudiantes a aprobar el examen de ingreo a las universidades y el examen de grado","En Cuestionarix te preparamos para que apruebes el examen de ingreso a la universidad. El 97% de nuestros estudiantes obtiene un cupo en la Universidad de sus sueños."
"350","Cuestionarix.com","plataforma web que permite a los estudiantes del Ecuador prepararse de forma efectiva y eficiente para rendir cualquier examen de ingreso a la universidad","Es una startup que nació como un emprendimiento propulsado mediante la aplicación de metodologías altamente vanguardistas. Cuestionarix.com se perfila como la primera y única plataforma virtual creada con la finalidad de potenciar y elevar la calidad de la educación superior en Ecuador"
"336","Curso de Computación","Los maestros del curso tienen la licenciatura en la ingeniería de computación y la tecnología educativa. Las clases se llevan a cabo en el salón de computación en la Fundación. Este salón moderno tiene 32 computadoras y una computadora del maestro conectada al proyector y el espacio es ideal para el aprendizaje de la tecnología.","La Fundación ofrece gratuitamente el Curso de Computación durante el año escolar, en 2 niveles. Las clases se imparten por la tarde, donde los estudiantes asisten una hora y media, dos veces por semana después de recibir las clases habituales en sus respectivas escuelas. Se ofrece a todos los estudiantes del 6° y 7° de Educación Básica de San José de Chimbo y sus alrededores."
"78","Cursos","Enseñar de manera práctica distintos tipos de tallados y manejo, de madera, metal, impresiones 3D, cortado laser, entre otros para incentivr la cultura Markers","Tenemos más de 30 cursos novedosos con una filosofía totalmente práctica. Al final de nuestros cursos, los alumnos tendrán un producto terminado en sus manos."
"70","Cursos In Company","Mediante cursos y talleres personalizados abordan problemas que enfrentan nuevas y actuales empresas para que gestionen innovación dentro de sus organizaciones","Este curso altamente personalizado está creado para inspirar y gestionar la innovación al interior de cada organización dependiendo de la necesidades puntuales que pueden ir desde entender el contexto de la nueva economía mundial hasta el desarrollo de procesos de innovación o ejecución de métodos de experimentación y reiteración para crear nuevos productos o servicios."
"69","Cursos In Company","Mediante cursos y talleres personalizados abordan problemas que enfrentan nuevas y actuales empresas para que gestionen innovación dentro de sus organizaciones","Este curso altamente personalizado está creado para inspirar y gestionar la innovación al interior de cada organización dependiendo de la necesidades puntuales que pueden ir desde entender el contexto de la nueva economía mundial hasta el desarrollo de procesos de innovación o ejecución de métodos de experimentación y reiteración para crear nuevos productos o servicios."
"89","Círculo de Progreso","Cooperación a grupos vulnerables y reducción de desigualdades.","El Círculo de Progreso es una metodología medible y sostenible con un enfoque de valor compartido dividida en 5 fases progresivas, creada para mejorar la situación integral de las mujeres en situación de vulnerabilidad que permite explorar las dimensiones de crecimiento personal y profesional, en pos de su bienestar emocional, social y financiero. Se desarrolló en el marco de la iniciativa Líderes por los ODS de Pacto Global Red Ecuador en el 2019."
"3","DATA DAY","Conecta a aquellos individuos y organizaciones que tienen ideas y/o están desarrollando proyectos con DATOS, para fomentar la colaboración y el diálogo.","sta edición la dedicamos a conocer los detalles del 1er Datatón Anticorrupción, un evento virtual que promueve la co-creación de propuestas para la lucha contra la corrupción en Ecuador, a través del uso, análisis y visualización de datos abiertos.  El Datatón es organizado por Fundación KIRU, Datalat, y REDAM con el apoyo de la Fundación Panamericana para el Desarrollo (PADF)."
"367","DATATÓN AMBATO 2020","Datatón permitirá generar y complementar datos para identificar, monitorear y gestionar problemas que afectan a la sociedad. 
El objetivo de esta iniciativa es empoderar a la ciudadanía para participar activamente en la generación, gestión y uso de datos que contribuyan al monitoreo y evaluación de la implementación de los ODS.","El Datatón del 2020 sobre movilidad sostenible se enmarca en el Laboratorio urbano de movilidad sostenible y uso eficiente de la energía de Ambato, del programa de ciudades intermedias sostenibles de la cooperación técnica alemana (GIZ-Ecuador), implementado en Ambato por Grupo FARO. La actividad es coorganizada entre Emprendec y el Laboratorio, y, en esta edición  busca integrar a diferentes aliados. 
Este es un espacio de activación ciudadana en donde la comunidad forma parte del proceso de levantamiento de datos sobre alguna temática en particular en espacios específicos de acuerdo a su percepción."
"361","DISEÑO PERMACULTURAL","El diseño integral posee siete capas. Son consideramos en el diseño del proyecto: clima, topografía, agua, caminos y accesos, árboles, estructuras y construcciones, subdivisiones y suelo. Es ideal para fincas, empresas agrícolas y ecoaldeas, con un diseño que se adapta al clima y las condiciones de tu terreno.","El proyecto tiene un enfoque regenerativo y sustentable haciendo un diseño a largo plazo para visualizar la implementación inteligente y eficiente del proyecto, ahorrando energía e insumos externos para el área agrícola."
"244","DIVERCIUDADES","El proyecto consiste en agrupar diversas iniciativas en una plataforma digital, tales como “¿Y nosotras?”, o “Habitar en cuarentena”. Su finalidad radica en promover y celebrar la inclusión y diversidad que existe en las ciudades de Ecuador, para lo cual se trabaja sobre 3 temas claves para las ciudades: género, inclusión y resiliencia.","DiverCiudades, como una plataforma digital, fue creada por Fundación KIRU y Datalat, con la finalidad de promover y celebrar la inclusión y diversidad que existe en las ciudades de Ecuador. Trabaja sobre 3 temas claves: género, inclusión y resiliencia. Además, tiene tres líneas de trabajo: la creación y fortalecimiento de capacidades; el uso y generación de datos abiertos; y, el desarrollo colaborativo de tecnología cívica."
"307","DREAMLAB Tulcán","Los jóvenes reciben talleres y capacitaciones para fortalecer sus habilidades, así podrán diseñar proyectos de desarrollo en beneficio de su comunidad. Actuan como agentes de cambio y diseñan estrategias para prevenir el conflicto, para la promoción de comunidades pacíficas y resilientes.","Hay una convocatoria de jóvenes de 15 a 24 años de edad, para la participación en el programa, que tiene duración de 6 meses. Son elegidos los mejores proyectos, estos reciben un fondo semilla y apoyo en la implementación, para convertir los problemas en soluciones y las ideas en proyectos. El LAB busca formar líderes con la capacidad de identificar, aprovechar y generar oportunidades que mejoren su calidad de vida."
"332","DataHack","Programa que impulsa a que las empresas aprendan a trabajar con su data, para toma de decisiones que generen eficiencia, explorando y explotando oportunidades de negocio, que les permita crecer sosteniblemente, mientras impulsan la adopción del cambio en las personas.","DataHack: Desbloquea el potencial de la data, es un programa que impulsa a que 20 empresas desarrollen un proyecto real de caso de uso de la data enfocado a sus objetivos estratégicos. Con el objetivo de promover a que las empresas exploten el potencial que representa el uso apropiado de los datos para ser más eficientes y detonar las oportunidades de innovación en el negocio que generen impacto sostenible."
"370","Datatón Latacunga","Mediante una campaña digital masiva se invita a la ciudadanía a participar en un Datatón Ciudadano, evento que consiste en una maratón de tres semanas para levantar la mayor cantidad de datos sobre áreas verdes y arbolado, con el fin de utilizar la información para generar políticas sobre arborización y protección de áreas verdes en la ciudad.","Mediante una campaña digital masiva se invita a la ciudadanía a participar en un Datatón Ciudadano, evento que consiste en una maratón de tres semanas para levantar la mayor cantidad de datos sobre áreas verdes y arbolado, con el fin de utilizar la información para generar políticas sobre arborización y protección de áreas verdes en la ciudad."
"143","Desarrollo de producto","Desarrollan prototipos a menor costo y tiempo mediante un acompañamiento desde la los inicios con el diseño del proyecto hasta la producción en masa para tener los mejores resultados en el mercado","En Innova 3D realizamos el diseño de tu proyecto desde sus inicios para ello realizamos levantamiento de partes, cálculos de resistencias, tolerancias, diseño de prototipos, ensamblando y pruebas de campo hasta llegar a la producción en masa. La experiencia que hemos adquirido a lo largo de los años al trabajar con las empresas más importantes del país, ayudándolas a desarrollar sus prototipos a un menor costo y en un menor tiempo, te garantiza que obtendrás los mejores resultados del mercado."
"262","Diagnóstico respecto de las áreas prioritarias para la cooperación en materia de transparencia, integridad y lucha contra la corrupción en Ecuador","Sugiere líneas de acción en cada una de las cinco áreas establecidas como prioritarias. Cada una de ellas tiene como objetivo impulsar la co-construcción de estrategias para alcanzar resultados positivos, teniendo en cuenta experiencias regionales exitosas y estándares internacionales, así como los compromisos adquiridos por Ecuador.","Elaboración de un informe de diagnóstico respecto de las áreas prioritarias
para la cooperación en materia de transparencia, integridad y lucha contra la corrupción en Ecuador; desde un equipo multidisciplinario. Aborda cinco áreas establecidas como las principales en este tema: 1. La transparencia en el financiamiento de la política, 2. La transparencia fiscal y presupuestaria, 3. La transparencia en las contrataciones públicas, 4. El servicio público y la carrera administrativa, y 5. La lucha contra la corrupción, el combate a la impunidad y la
independencia judicial."
"42","Diferencial","Es un espacio para la investigación, archivación y presentación de prácticas y productos culturales vinculados al desarrollo tecnológico.","Espacio que a la vez es hackerspace, coworking, catalizador de proyectos relacionados con la cultura digital y el arte y además difusor de toda clase de ideas colaborativas con una base tecnológica. Se enfoca en la práctica colaborativa y aspira a la creación de redes de socialidad con otros espacios y proyectos afines en la región."
"180","DigiGirlz","Mediante un programa de microsoft youth spark, se brinda a las niñas y adolescentes oportunidades para aprender de carreras en tecnología, conectarse con mentores y participar en talleres prácticos de informática y tecnología","DigiGirlz es un evento de un solo día, donde de forma lúdica enseña a las niñas de edades de 8 a 18 años programación en video juegos en colaboración con Microsoft."
"243","Dirección integral anti-trata","Desde el año 2012, la Fundación Alas de Colibrí ha atendido a un aproximado de 200 mujeres adolescentes sobrevivientes del delito de trata de personas. El proyecto trabaja en tres líneas: acogimiento institucional, prevención, sensibilización. Cuenta con unas casa de acogida y acciones de capacitación.","Atención integral a personas en situaciones de riesgo, como mujeres  adolescentes sobrevivientes del delito de trata de personas."
"87","Diseño e Implementacion de Modelo inclusivo de Admisión al Sistema de Educación Superior del Ecuador","Acción comunitaria por un bien común in discriminación  de genero, raza o situación socio-económica.","Promueve el acceso a la Educación superior de los estudiantes de grupos vulnerables, sin discriminación  de genero, raza o situación socio-económica en el pais Ecuatoriano"
"61","Disrupt Challenge","Por medio de un programa vivencial, ayuda a los emprendedores a pontencializar sus ideas, generar soluciones disruptivas para que mejoren sus emprendimientos","Disrupt Challenge es un laboratorio de innovación abierta, que beca a un grupo de talentosos emprendedores y los reúne durante todo un fin de semana, para generar soluciones disruptivas a distintos desafíos que proponen grandes empresas, por medio de un programa intensivo y vivencial de innovación."
"187","Disruptive Women Ecuador","Transferencia de conocimiento hacia mujeres lideresas sobre gestión pública para que puedan crear, innovar y contribuir positivamente a transformar la función pública del Ecuador.","Programa de formación dirigido a mujeres lideres entre 21 y 29 años, con interés y perfil para en un futuro transformar la función pública ecuatoriana. El programa cuenta con mentoras y sesiones virtuales en los que se trabaja temas de empoderamiento y transferencia de conocimiento."
"52","DiverCiudades","Plataforma digital que promueve la inclusión y diversidad de ciudades de Ecuador, por medio de la creación y fortalecimiento de capacidades, uso y generación de datos y el desarrollo colaborativo de tecnología cívica","Plataforma digital creada por Fundación KIRU y Datalat para promover y celebrar la inclusión y diversidad que existe en las ciudades de Ecuador. Trabajamos sobre 3 temas claves para nuestras ciudades: género, inclusión y resiliencia."
"275","Diálogos Vitales","En Diálogos Vitales existimos para sumar esfuerzos que incentiven a la recuperación justa y sostenible del Ecuador, facilitando la confianza, la cooperación y la acción de sus habitantes diversos.","Diálogos Vitales es una iniciativa abierta, auto-convocada y descentralizada. Es una invitación a conversar, a conocernos y a construir juntos la visión conjunta del país que nos imaginamos y a accionar colectivamente. Estamos juntos, sumando esfuerzos para la recuperación sostenible y justa del Ecuador, facilitando la confianza, reflexión, cooperación y acción coordinada de sus habitantes."
"173","DocuWare","Mediante un software especializado para la gestión y administración de documentos, permite que las empresas ahorren tiempo y dinero.","Contamos con el gestor documental DOCUWARE, proporcionado a través de nuestra empresa hermana Digital Solutions.  El Software está diseñado como repositorio documental.  Permite realizar flujos de trabajo y aprobaciones a través de sellos digitales.  Las compañías que generan poca o gran cantidad de documentos pueda manejar la información de manera digital con búsquedas inmediatas ahorrando tiempo y dinero."
"274","Doing Business Ecuador - EEUU","Se empleó la tecnología para desplegar un mecanismo que permite el encuentro entre diversos actores y así lograr acuerdos de venta con empresarios norteamericanos. Se trató de una rueda de negocios virtual, en la que la tecnología fue un aliado para la organización de una iniciativa orientada a la dinamización de la economía de Ecuador.","Primera rueda de negocios del año entre Ecuador y Estados Unidos. Durante dos días se realizaron 178 reuniones entre exportadores ecuatorianos y distribuidores de supermercados, de minimarkets y de puntos de venta de EE.UU.
El encuentro empresarial generó en expectativas de ventas USD $30’000.000.
Según las tendencias de consumo entre los productos más demandados de la Rueda Virtual estuvieron: superfoods, frutas frescas y camarón."
"329","EMPRESA SOLIDARIA","El proyecto tiene por objetivo diseñar e implementar programas y talleres de sensibilización a las empresas sobre las consecuencias: sociales, físicas, psicológicas y legales del maltrato infantil. El programa se sustenta en estudio de diagnóstico y evaluación de los talleres, además de un seguimiento médico y psicológico de los grupos de estudio.","La iniciativa cuenta con: consultorías psicológicas para prevenir maltrato; talleres: sobre afectación psicosocial de la violencia, para prevenir abuso de alcohol y drogas, sobre maltrato y violencia en pareja; y charlas educativas sobre la violencia intrafamiliar. A través de la colaboración con FUNEMI ONG, las empresas contribuirán a reducir la violencia y maltrato en niñas, niños y adolescentes."
"184","ESCALADIO","Réplicas arquitectónicas a escala de estadios, hasta un 95% exactas a la realidad, fabricadas con tecnología de impresión 3D.","Los estadios son el mayor patrimonio físico con el que cuentan los clubes; después de la camiseta, es lo que más identifica a los fanáticos con su club gracias al valor intangible que encierran todas las experiencias vividas en cada escenario; ahí radica nuestra propuesta de valor y la inspiración de nuestro producto."
"305","ESCUELA DE EMPRENDIMIENTO","La iniciativa utiliza una metodología que considera cuatro etapas, desde la idea de negocio hasta el encadenamiento productivo de los emprendedores. Promueve también el desarrollo de Ferias de Emprendimiento e Integración en las que se brinda a emprendedores refugiados y locales, la oportunidad de promocionar sus bienes y servicios.","La Escuela de Emprendimiento tiene el objetivo de mejorar las condiciones de vida y facilitar la integración de solicitantes de refugio y refugiados, promovendo la puesta en marcha de nuevas ideas de negocios, contribuyendo en el desarrollo de asociaciones de empreendedores, lo que ayuda a pontencializar la generación de mayores ingresos."
"177","Easyfix","Mediante una aplicación móvil y de escritorio, las personas se encuentran un directorio de servicios técnicos para el hogar que les permite coordinar horarios, escoger métodos de pago.","Si necesitas a un especialista para tu empresa u hogar, encuéntralo fácilmente por tipo de servicio a través de nuestra app móvil y de escritorio. Además se puede solicitar ser parte de los ""EASYFIXERS"" y entrar en el directorio."
"118","Ecommerce","Diversifica a los clientes y crea nuevas líneas de negocio por medio de tiendas online que se adaptan a las necesidades del cliente.","Creamos tiendas online Ecommerce integradas con Botones de pago y Logistica, que se posicionan en el mercado ecuatoriano e internacional logrando incrementar tus ventas, diversificando tus clientes y creando nuevas líneas de negocio"
"28","Ecosambito","Mediante herramientas digitales, diseñados para computadoras y teléfonos móviles permite la gestión de compromisos ambientales, organiza información de sostenibilidad y tabula datos para resultados puntuales sobre el tema","Empresa dedicada a la consultoría en temas de normativa ambiental. El desarrollo de nuevas tecnologías a favor del planeta son parte de nuestro ADN como empresa."
"352","Ecosistema Sectorial de emprendimiento e innovación en minería responsable","La iniciativa busca desarrollar servicios, emprendimientos y proveedores de clase mundial alrededor de la minería desde Ecuador y preparar a los mejores profesionales y técnicos alrededor de la minería, por medio de la generación de un espacio de diálogo y encuentro para fomentar y fortalecer emprendimiento e innovación en minería.","El Ecosistema Sectorial de emprendimiento e innovación en minería busca crear una comunidad ciudadana para mejorar la economía del país, con los objetivos de aumentar el valor del sector extractivo y bajar el riesgo de la actividad, visibilizar el aporte de la industria, asegurar la participación de todos los sectores y garantizar la transparencia en las actividades."
"188","Ecosistema de Formación, Investigación e Innovación","Enfoque de conocimiento abierto para contribuir a la gestión de conocimiento sobre desarrollo urbano sostenible en el país.","Es una plataforma multiactor y multinivel que busca coordinar y articular a los actores públicos, privados, de la academia y de la sociedad civil, para promover el desarrollo de investigación aplicada y fortalecimiento de capacidades entorno al desarrollo urbano sostenible, tomando como marco de referencia los objetivos, ejes de acción y áreas de gestión de la Agenda de Hábitat Sostenible 2036.
La Red Nacional de Desarrollo Urbano Sostenible es el brazo técnico del Ecosistema de Formación, Investigación e Innovación"
"282","Ecoterra","Ecoterra fabrica y comercializa varios productos biodegradables para la limpieza profesional, industrila y del hogar.","Ecoterra es una empresa ecuatoriana cuyo objetivo es fabricar y comercializar varios productos biodegradables para la limpieza profesional, industrial y del hogar, que aporten al consumo sostenible."
"136","Ecuador 2030 Productivo y Sostenible","Mediante capacitaciones, talleres y un tablero de control con datos centralizados y unificados diseña e implementa un plan estratégico a largo plazo con la productividad, competitividad e innovación como base para el desarrollo sostenible y la prosperidad de la sociedad","El proyecto Ecuador 2030 es el primer acuerdo empresarial abierto a organizaciones de todos los tamaños que busquen construir una agenda de transformación del país. La meta es ingresar, a través de un pensamiento exponencial, de manera competitiva en la Cuarta Revolución Industrial y avanzar hacia los Objetivos de Desarrollo Sostenible (ODS)."
"149","Ecuaprotesis 3D","Elaboración de prótesis, órtesis y otros productos de ortopedia para personas con capacidades físicas reducidas; las cuales se obtienen en impresoras 3D.","Ecuaprotesis se caracteriza por ofrecer prótesis de acuerdo a la medida del paciente, las cuales son tomadas a través de un scanner 3D, además de ser prótesis livianas son de fácil uso, con diseños y colores escogidos por el paciente y de bajo costo en relación a prótesis de similares"
"158","Ecuarunari","Propicio de valor cultural y conservación de tradiciones.","ECUARUNARI es una organización INDIGENA, cuyo principal objetivo es el de propiciar dentro de la población indígena la toma de conciencia, en orden a lograr una recuperación social, económica y política."
"231","Efecto Multiplicador","Creación de talleres virtuales para capacitar a mujeres del Ecuador con base a la experiencia de mujeres emprededoras y expertas en varios sectores productivos","Réplica del proceso de capacitación de la Red de Mujeres de la Economía Violeta, en base al Programa ajustado “Entrenamiento, Liderazgo, Derechos y Prevención de la Violencia contra las mujeres”.
Para el efecto se ha diseñado el Programa denominado Empoderamiento y vida libre de violencia contra las mujeres, que incluye Empoderamiento y liderazgo integrativo, sobre vida libre de violencia, saberes de emprendimiento y enlaces interinstiticionales informativos. La réplica se realizara mediante  talleres virtuales impartidos por el grupo de lideresas territoriales facilitadoras de la Red de Mujeres de la Economía Violeta previamente capacitadas."
"289","El Programa","El Programa tiene por objetivo identificar, mentorear, e invertir en los equipos más innovadores. 
Además, proporciona apoyo para trazar una estrategia de levantamiento de capital y brinda todas las herramientas para ejecutarla de manera disciplinada.","brindar el apoyo necesario para potencializar los emprendimientos tecnológicos en el país y a su vez brindar las herramientas más importantes para alcanzar el conocimiento necesario para la búsqueda de inversión. BuenTrip Hub ha mapeado a casi 300 startups, acompañado a más de 70 startups en programas de mentoría dando como resultado más de 500 horas con mentores para sus startups."
"159","El parto es nuestro","Iniciativa comunitaria para brindar asistencia a un grupo invisibilizado por medio de acciones auto-organizadas.","El Parto es Nuestro es una asociación sin ánimo de lucro y feminista, que pretende mejorar las condiciones de atención a madres e hijos durante el embarazo, parto y posparto."
"285","Empaque Verde","Empaque Verde quiere revolucionar mediante el uso de productos desechables sostenibles, 100% biodegradables y compostables.","EmpaqueVerde Ecuador es una empresa social con propósito de impactar positivamente. Está orientada a fortalecer la Conciencia Ambiental y Consumo Responsable. Comercializa productos desechables de calidad y responsables con el ambiente."
"9","Emprende","Ayuda a los emprendedores con sus ideas y desarrollo de producto, mediante la provición de lugares u oficinas adecuadas, así como con asesoramientos, participación en ferias e ingreso en puntos de venta MUYU","Es un programa orientado a los emprendedores en su etapa de idea o desarrollo de prototipo de producto o servicio. Durante un proceso de asistencia técnica y bajo la metodología lean startup el emprendedor podrá construir su emprendimiento hasta conectarlo con el mercado."
"77","Emprendedor","Por medio de una plataforma web, conecta inversionistas con emprendedores, logra que sus proyectos se afiancen y sean exitosos, además da oportunidades para recibir capacitaciones, transferencia de conocimiento y asesorías para mejorar su emprendimiento.","""Oportunidad para catapultar su emprendimiento a mayores dimensiones. Establecer relaciones y alcanzar accesos con personas que hagan crecer su empresa. Ambiente donde obtener herramientas y habilidades para profesionalizarse como emprendedor. Espacio para compartir riesgo y beneficios.
 Espacio para acceder a redes de mentoría y asesoría especializada. Oportunidad de recibir capacitación, transferencia de conocimiento y/o asesorías profesionales activamente, etc."""
"29","Emprendefe","Sacar adelante nuevos emprendimientos mediante capacitación, apoyo financiero y acompañamiento con guías de análisis de entorno e implementación de modelo de negocios","Es un proyecto que impulsa a emprendedores que cuentan con un prototipo validado en el mercado con primeras ventas, (ventas que no sobrepasen los 12 meses consecutivos) mediante: capacitación, apoyo financiero reembolsable y acompañamiento"
"189","Escuela  Liderar","Despliega una metodología de acciones sostenibles para empoderar a los participantes con las necesidades locales y brindar acompañamiento en la implementación de soluciones.  Busca aportar al desarrollo de las comunidades mediante la educación y fortalecimiento de capacidades a emprendedores y jóvenes agentes de cambio","Es una experiencia de liderazgo vivencial que se enfoca en impartir conocimientos en temas de innovación social, herramientas creativas y habilidades para el desarrollo personal. Su objetivo es formar, conectar y visibilizar nuevos liderazgos mediante el desarrollo de retos que permiten fortalecer las capacidades personales, la conexión con las problemáticas sociales y proponer cambios mediante proyectos."
"266","Escuela Continua de Formación de Formadores","Acercar a educadores EPJA, promotores sociales y técnicos de ONG e instituciones públicas a la aplicación de la educación popular, y otorgar certificaciones de competencias por medio de certificado de Formador de Formadores avalado por SETEC.","Programa educativo enfocado a construir procesos educativos de transformación social mediante la aplicación de fundamentos, metodologías y enfoques del “ser” y “hacer” la Educación Popular en nuestros contextos."
"290","Escuela Granja","Proporcionar un sistema de acompañamiento pedagógico alternativo para los niños y niñas con enfermedades catastróficas. Estructura social apoyada en la familia y el entorno inmediato del niño, que permita que los niños continúen su proceso de desarrollo integral saludable.","El objetivo principal de la escuela granja es crear un espacio educativo integral tanto para los niños/as como para sus familias, proporcionando un desarrollo social competitivo y ofreciendo oportunidades, habilidades y destrezas que empoderen a estas poblaciones con el fin de que el espiral de la pobreza no se agudice."
"304","Escuela Móvil Cuéntamelo Todo Ibarra (CTI)","Cuéntamelo Todo Ibarra (CTI) es una estrategia socio- educativa innovadora, que trabaja desde en el lugar donde pasan la mayoría de su tiempo los niños o jóvenes, donde encuentran su motivación y adquieren sus referencias. Creando un espacio alternativo y de redes para el desarrollo, con el objetivo de generar interés en el aprendizaje, a través de actividades lúdicas basadas en valores y temas específicos adaptados a la realidad y necesidades de los participantes. A su vez reforzando la inserción educativa y ofreciendo a la niñez y a la juventud nuevas oportunidades y herramientas para un mejor futuro.","Cuéntamelo Todo Ibarra (CTI) es un proyecto social-educativo, que apoya a niños y jóvenes en situación de riesgo viviendo en el barrio de Alpachaca, Ibarra. Su objetivo es promocionar el bienestar y la inclusión social infantil y juvenil, ofreciendo desde la calle un espacio educativo alternativo, mediante su escuela móvil, fondo literario/biblioteca ambulante y dinámicas lúdicas. Donde pueden encontrar oportunidades y herramientas para transformar sus realidades, fomentando el sentido de cohesión social - familiar, y previniendo situaciones de violencia. Adicional a los niños, jóvenes y sus familiares les brindan apoyo a nivel: emocional, psicológico, médico y educativo."
"117","Escuela de Ciudadanía- Clic","Generador de condiciones para la innovación social.","Escuela d e Ciudadanía (EDC), tiene como objetivo fortalecer competencias de actores sociales a través de una plataforma de aprendizaje y de una metodología educativa en línea y presencial, que potencia procesos de participación e incidencia inclusivos y diversos que contribuyan a la sostenibilidad de organizaciones sociales."
"92","Escuela de Ciudadanía- Clic","Generador de condiciones para la innovación social.","Escuela d e Ciudadanía (EDC), tiene como objetivo fortalecer competencias de actores sociales a través de una plataforma de aprendizaje y de una metodología educativa en línea y presencial, que potencia procesos de participación e incidencia inclusivos y diversos que contribuyan a la sostenibilidad de organizaciones sociales."
"55","Espacio Joven","Después de escoger 60 jóvenes líderes de distintas provincias del país de gran diversidad ideológica, religiosa, racial y sexual, se realizaron discusiones y la creación de 40 propuestas gubernamentales las cuales serán votadas, debatidas y mejoradas por la plataforma web","Es una iniciativa que busca promover espacios de diálogo y construcción de propuestas gubernamentales de jóvenes líderes para los candidatos a la Presidencia de la República y la Asamblea Nacional para el periodo 2017-2021"
"97","Espacio de Innovación","Diseño de servicios para desarrollar emprendimientos con potencial de éxito que sean atractivos para el ecosistema nacional. Además de asesoría tributaria, asesoría en propiedad intelectual, asesoría Legal, asesoría técnica y asesoría e-Bussiness.","Agente de innovación, en calidad de incubadora que brinde servicios de acompañamiento integral que permitan el desarrollo de proyectos de emprendimiento que contribuyan al ecosistema de innovación de nuestra comunidad educativa y del país."
"259","Estrategia Agropecuaria de Tungurahua","Fomentar la agricultura limpia, animar la industria y proteger el comercio es la gestión que se promueve para ofertar productos innovadores y de calidad para la alimentación de la población. Las líneas estratégicas son: la comercialización asociativa, marketing agropecuario, capacitación, asistencia técnica, y  fortalecimiento organizacional.","La Estrategia Agropecuaria de Tungurahua es el conjunto de propuestas a corto, mediano y largo plazo que son demandadas y trabajadas de acuerdo a la problemática y necesidades de los agricultores de las nueve municipalidades y de la provincia. . Con dicha estrategia se contribuye mancomunadamente a la reducción de la pobreza asegurando la alimentación sana a la población, así como la comercializando e industrialización de la producción para mejorar los ingresos de los agricultores."
"84","Estudio De Las Anomalías De Arsénico En Las Fuentes De Agua De Las Zonas De La Parroquia Toacaso Aledañas Al Complejo Volcánico Los Ilinizas.","Acción comunitaria por un bien común en fuentes de agua usadas para consumo humano y de riego de la parroquia de Toacaso.","Determinación de la concentración de arsénico en fuentes de agua usadas para consumo humano y de riego de la parroquia de Toacaso, para determinar fuentes apropiadas o buscar alternativas de tratamiento para asegurar buena calidad de agua para la población y los cultivos."
"50","Evaluación de impacto de Sistema B en América Latina","Genera evidencia y recomendaciones de políticas a empresas B, potenciales empresas B y gobiernos para detallar los mecanismos con los cuales pueden participar y apoyar estas prácticas","Mediante la aplicación de métodos mixtos (técnicas cuantitativas y cualitativas) y la aplicación de un estudio de caso práctico, esta investigación generará evidencia y recomendaciones de políticas dirigidas a: empresas B y potenciales empresas que quieran convertirse en B; gobiernos, ya que se resaltan aquellas políticas y entornos que promueven la participación de este tipo de empresas; y para la sociedad civil, a fin de detallar los mecanismos con los cuales pueden participar y apoyar estas prácticas."
